Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,2325.0,0.0,5.0,2.0,7.0
Portugal,633.0,0.0,0.0,0.0,34.0
Spain,3738.0,0.0,11.0,2.0,0.0
United States,4630.0,0.0,4.0,39.0,6.0
Canada,744.0,9.0,1.0,2.0,0.0
Sweden,85.0,0.0,0.0,0.0,0.0
Italy,426.0,1.0,18.0,19.0,4.0
France,1829.0,0.0,1.0,2.0,1.0
Belgium,393.0,0.0,2.0,1.0,0.0
Australia,44.0,0.0,2.0,9.0,0.0
Germany,2540.0,0.0,18.0,19.0,16.0
Netherlands,878.0,0.0,0.0,1.0,0.0
Israel,133.0,0.0,3.0,5.0,0.0
Switzerland,264.0,0.0,0.0,3.0,0.0
Greece,32.0,0.0,2.0,2.0,0.0
Austria,99.0,0.0,2.0,1.0,0.0
Argentina,20.0,0.0,0.0,11.0,1.0
Denmark,76.0,0.0,0.0,3.0,1.0
Morocco,1.0,0.0,0.0,1.0,0.0
Slovenia,33.0,0.0,0.0,2.0,0.0
Scotland,59.0,0.0,1.0,1.0,0.0
Czech Republic,16.0,0.0,1.0,3.0,0.0
United Arab Emirates,16.0,0.0,0.0,1.0,0.0
Finland,17.0,0.0,0.0,3.0,0.0
Wales,30.0,0.0,0.0,0.0,0.0
Northern Ireland,18.0,0.0,0.0,0.0,0.0
Sudan,0.0,1.0,0.0,0.0,0.0
Bolivia,0.0,1.0,1.0,0.0,1.0
Iran,0.0,3.0,0.0,0.0,0.0
Ecuador,3.0,0.0,2.0,1.0,0.0
Malta,17.0,0.0,0.0,1.0,0.0
Ireland,85.0,0.0,0.0,0.0,0.0
Mexico,60.0,0.0,0.0,2.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,0.0,0.0,0.0,0.0
Thailand,2.0,0.0,0.0,0.0,0.0
Peru,251.0,1.0,1.0,2.0,0.0
Brazil,978.0,7.0,2.0,20.0,4.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,37.0,0.0,0.0,0.0,0.0
Norway,51.0,0.0,0.0,3.0,0.0
Paraguay,0.0,0.0,0.0,1.0,0.0
Costa Rica,3.0,2.0,1.0,3.0,0.0
Gibraltar,5.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,2.0,1.0
Haiti,0.0,1.0,0.0,0.0,0.0
Uruguay,0.0,1.0,0.0,4.0,0.0
Latvia,3.0,0.0,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0,0.0,0.0
Kosovo,0.0,0.0,1.0,0.0,0.0
Turkey,1.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,1.0,0.0
Ghana,34.0,0.0,0.0,0.0,0.0
India,4.0,0.0,1.0,2.0,1.0
Iceland,9.0,0.0,0.0,1.0,0.0
Poland,53.0,0.0,1.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,6.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0
Venezuela,1.0,0.0,0.0,1.0,0.0
Romania,20.0,0.0,7.0,0.0,0.0
Georgia,1.0,0.0,0.0,0.0,0.0
Slovakia,3.0,0.0,1.0,1.0,0.0
Luxembourg,19.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,1.0,1.0,0.0
Chile,45.0,2.0,2.0,2.0,0.0
Serbia,10.0,0.0,0.0,0.0,0.0
Lebanon,4.0,0.0,0.0,4.0,0.0
South Korea,1.0,0.0,1.0,1.0,0.0
Singapore,11.0,0.0,8.0,4.0,0.0
South Africa,3.0,0.0,0.0,1.0,2.0
Taiwan,2.0,0.0,1.0,2.0,0.0
Colombia,12.0,0.0,0.0,3.0,0.0
Croatia,10.0,0.0,0.0,1.0,0.0
Bulgaria,4.0,0.0,1.0,3.0,0.0
Somalia,0.0,3.0,3.0,1.0,0.0
Zambia,0.0,1.0,0.0,1.0,0.0
Fiji,0.0,0.0,0.0,0.0,0.0
Benin,3.0,0.0,0.0,2.0,1.0
Estonia,5.0,0.0,0.0,1.0,0.0
Puerto Rico,13.0,0.0,0.0,6.0,0.0
Panama,1.0,0.0,0.0,0.0,0.0
Dominican Republic,3.0,0.0,2.0,1.0,0.0
Jamaica,2.0,0.0,0.0,2.0,0.0
New Zealand,2.0,0.0,0.0,2.0,0.0
Russia,1.0,0.0,0.0,1.0,0.0
Bosnia And Herzegovina,1.0,0.0,0.0,0.0,0.0
Saudi Arabia,3.0,0.0,1.0,3.0,0.0
Martinique,1.0,0.0,0.0,1.0,0.0
Barbados,1.0,0.0,0.0,0.0,0.0
Qatar,2.0,0.0,1.0,0.0,0.0
Bermuda,1.0,0.0,0.0,0.0,0.0
Japan,2.0,0.0,2.0,2.0,0.0
Guadeloupe,1.0,0.0,0.0,1.0,0.0
Andorra,3.0,0.0,0.0,0.0,0.0
New Caledonia,1.0,0.0,0.0,0.0,0.0
China,2.0,0.0,0.0,0.0,0.0
Nigeria,133.0,224.0,0.0,0.0,0.0
Democratic Republic Of The Congo,107.0,1369.0,0.0,0.0,0.0
Central African Republic,8.0,9.0,0.0,0.0,0.0
Republic of Congo,2.0,5.0,0.0,0.0,0.0
Cameroon,6.0,25.0,0.0,0.0,0.0
Liberia,0.0,4.0,0.0,0.0,0.0
Sierra Leone,0.0,2.0,0.0,0.0,0.0
